benchmark,source,calls,seed,expected,samples,warmups,smm_pre_median_seconds,smm_pre_min_seconds,smm_pre_max_seconds,smm_pre_median_allocated_bytes,smm_pre_rss_before_bytes,smm_pre_peak_rss_bytes,smm_pre_peak_growth_bytes,smm_median_seconds,smm_min_seconds,smm_max_seconds,smm_median_allocated_bytes,smm_rss_before_bytes,smm_peak_rss_bytes,smm_peak_growth_bytes,speedup_smm_pre_over_smm,allocated_ratio_smm_pre_over_smm,peak_rss_ratio_smm_pre_over_smm,peak_growth_ratio_smm_pre_over_smm,ocaml_version,timestamp_utc
arithmetic_linear,_build/bench/generated/arithmetic_linear.s--,4096,20260710,4194307,7,1,0.000866890,0.000860929,0.000870943,3474032,8241152,8286208,45056,0.008063078,0.008026838,0.009842157,25129216,11448320,12144640,528384,0.107514,0.138247,0.682293,0.085271,5.4.1,2026-07-15T06:09:02Z
arithmetic_random,_build/bench/generated/arithmetic_random.s--,4096,20260710,4194307,7,1,0.000683069,0.000674963,0.000705004,3474032,8192000,8237056,45056,0.008127928,0.008105040,0.008157015,25070416,11468800,12197888,712704,0.084040,0.138571,0.675285,0.063218,5.4.1,2026-07-15T06:09:02Z
arithmetic_constant,_build/bench/generated/arithmetic_constant.s--,4096,20260710,212992,7,1,0.000684977,0.000681162,0.000685930,3474032,8257536,8302592,45056,0.006242990,0.006196022,0.006782055,16454360,11497472,12107776,532480,0.109719,0.211131,0.685724,0.084615,5.4.1,2026-07-15T06:09:02Z
arithmetic_repeated_eight,_build/bench/generated/arithmetic_repeated_eight.s--,4096,20260710,524312,7,1,0.000672102,0.000669003,0.000675917,3474032,8265728,8310784,45056,0.006489038,0.006459951,0.006536961,17680760,11403264,11948032,491520,0.103575,0.196487,0.695578,0.091667,5.4.1,2026-07-15T06:09:02Z
arithmetic_alternating_extremes,_build/bench/generated/arithmetic_alternating_extremes.s--,4096,20260710,4194307,7,1,0.000675917,0.000674009,0.000697136,3474032,8146944,8192000,45056,0.008039951,0.008001804,0.008094072,25070256,11395072,12128256,585728,0.084070,0.138572,0.675447,0.076923,5.4.1,2026-07-15T06:09:02Z
arithmetic_bucket_shuffle,_build/bench/generated/arithmetic_bucket_shuffle.s--,4096,20260710,4194307,7,1,0.000669956,0.000668049,0.000675917,3474032,8273920,8318976,45056,0.008203030,0.008094072,0.008445978,25129216,11505664,12206080,516096,0.081672,0.138247,0.681544,0.087302,5.4.1,2026-07-15T06:09:02Z
branch_linear,_build/bench/generated/branch_linear.s--,4096,20260710,837229,7,1,0.000788927,0.000783920,0.000802994,4063856,8249344,8294400,45056,0.010699034,0.010569096,0.010704994,32482056,11493376,12173312,598016,0.073738,0.125111,0.681359,0.075342,5.4.1,2026-07-15T06:09:02Z
branch_random,_build/bench/generated/branch_random.s--,4096,20260710,837229,7,1,0.000797987,0.000794888,0.000811100,4063856,8187904,8232960,45056,0.010726929,0.010637999,0.010750055,32642264,11468800,12193792,540672,0.074391,0.124497,0.675176,0.083333,5.4.1,2026-07-15T06:09:02Z
captured_linear,_build/bench/generated/captured_linear.s--,4096,20260710,4194307,7,1,0.001084805,0.001043081,0.001121998,3736832,8241152,8351744,110592,0.008833170,0.008817911,0.008864880,25722080,11468800,12771328,1249280,0.122810,0.145277,0.653945,0.088525,5.4.1,2026-07-15T06:09:02Z
captured_random,_build/bench/generated/captured_random.s--,4096,20260710,4194307,7,1,0.001041174,0.001029015,0.001088858,3736832,8294400,8404992,110592,0.008886099,0.008825064,0.008916140,25663280,11407360,12775424,1368064,0.117169,0.145610,0.657903,0.080838,5.4.1,2026-07-15T06:09:02Z
multiarg_stable,_build/bench/generated/multiarg_stable.s--,4096,20260710,4194307,7,1,0.001461983,0.001455069,0.001474142,5309152,9146368,9359360,212992,0.012278080,0.012192965,0.012359142,32993768,12959744,14807040,1777664,0.119073,0.160914,0.632089,0.119816,5.4.1,2026-07-15T06:09:02Z
multiarg_alternating,_build/bench/generated/multiarg_alternating.s--,4096,20260710,5031939,7,1,0.001468897,0.001467943,0.001484156,5309152,9109504,9322496,212992,0.012460947,0.012387991,0.013001204,33459208,13066240,15044608,1855488,0.117880,0.158675,0.619657,0.114790,5.4.1,2026-07-15T06:09:02Z
nested_linear,_build/bench/generated/nested_linear.s--,4096,20260710,4194307,7,1,0.000869989,0.000868082,0.000885010,4358872,8245248,8335360,90112,0.010027170,0.009951830,0.010111809,33748600,11501568,12738560,1130496,0.086763,0.129157,0.654341,0.079710,5.4.1,2026-07-15T06:09:02Z
