benchmark,source,calls,seed,expected,samples,warmups,smm_pre_median_seconds,smm_pre_min_seconds,smm_pre_max_seconds,smm_pre_median_allocated_bytes,smm_pre_rss_before_bytes,smm_pre_peak_rss_bytes,smm_pre_peak_growth_bytes,smm_median_seconds,smm_min_seconds,smm_max_seconds,smm_median_allocated_bytes,smm_rss_before_bytes,smm_peak_rss_bytes,smm_peak_growth_bytes,speedup_smm_pre_over_smm,allocated_ratio_smm_pre_over_smm,peak_rss_ratio_smm_pre_over_smm,peak_growth_ratio_smm_pre_over_smm,ocaml_version,timestamp_utc
arithmetic_linear,_build/bench/generated/arithmetic_linear.s--,4096,20260710,4194307,7,1,0.000356197,0.000354052,0.000358820,3211400,8261632,8318976,57344,0.002964020,0.002937794,0.003015041,17572816,11411456,11960320,438272,0.120174,0.182748,0.695548,0.130841,5.4.1,2026-07-16T00:36:39Z
arithmetic_random,_build/bench/generated/arithmetic_random.s--,4096,20260710,4194307,7,1,0.000349998,0.000345945,0.000380039,3211400,8212480,8269824,57344,0.003064156,0.003049850,0.003072023,17631616,11403264,11952128,475136,0.114223,0.182139,0.691912,0.120690,5.4.1,2026-07-16T00:36:39Z
arithmetic_constant,_build/bench/generated/arithmetic_constant.s--,4096,20260710,212992,7,1,0.000346899,0.000342131,0.000372887,3211400,8138752,8261632,122880,0.002282858,0.002271891,0.002305031,11898792,11390976,11939840,462848,0.151958,0.269893,0.691938,0.265487,5.4.1,2026-07-16T00:36:39Z
arithmetic_repeated_eight,_build/bench/generated/arithmetic_repeated_eight.s--,4096,20260710,524312,7,1,0.000347853,0.000344992,0.000361919,3211400,8232960,8290304,57344,0.002398968,0.002387047,0.002418041,12798152,11509760,12058624,548864,0.145001,0.250927,0.687500,0.104478,5.4.1,2026-07-16T00:36:39Z
arithmetic_alternating_extremes,_build/bench/generated/arithmetic_alternating_extremes.s--,4096,20260710,4194307,7,1,0.000354052,0.000350952,0.000362873,3211400,8331264,8388608,57344,0.003015995,0.002990961,0.003045082,17631776,11460608,12009472,442368,0.117391,0.182137,0.698499,0.129630,5.4.1,2026-07-16T00:36:39Z
arithmetic_bucket_shuffle,_build/bench/generated/arithmetic_bucket_shuffle.s--,4096,20260710,4194307,7,1,0.000358105,0.000351906,0.000377178,3211400,8278016,8335360,57344,0.003021955,0.003002882,0.003031015,17572816,11427840,11976704,438272,0.118501,0.182748,0.695964,0.130841,5.4.1,2026-07-16T00:36:39Z
branch_linear,_build/bench/generated/branch_linear.s--,4096,20260710,837229,7,1,0.000428915,0.000422955,0.000460148,3735688,8331264,8384512,53248,0.004065990,0.004040003,0.004079819,22180832,11468800,12017664,446464,0.105488,0.168420,0.697682,0.119266,5.4.1,2026-07-16T00:36:39Z
branch_random,_build/bench/generated/branch_random.s--,4096,20260710,837229,7,1,0.000451803,0.000447989,0.000452995,3735688,8253440,8306688,53248,0.004086971,0.004057884,0.004106045,22549648,11522048,12070912,507904,0.110547,0.165665,0.688157,0.104839,5.4.1,2026-07-16T00:36:39Z
captured_linear,_build/bench/generated/captured_linear.s--,4096,20260710,4194307,7,1,0.000528097,0.000522852,0.000535011,3342928,8278016,8400896,122880,0.003278017,0.003268003,0.003309965,18164920,11517952,12664832,1114112,0.161103,0.184032,0.663325,0.110294,5.4.1,2026-07-16T00:36:39Z
captured_random,_build/bench/generated/captured_random.s--,4096,20260710,4194307,7,1,0.000522852,0.000515938,0.000528097,3342928,8323072,8445952,122880,0.003349066,0.003328085,0.003362894,18223720,11538432,12685312,1081344,0.156119,0.183438,0.665806,0.113636,5.4.1,2026-07-16T00:36:39Z
