benchmark,source,calls,seed,expected,samples,warmups,smm_pre_median_seconds,smm_pre_min_seconds,smm_pre_max_seconds,smm_pre_median_allocated_bytes,smm_pre_rss_before_bytes,smm_pre_peak_rss_bytes,smm_pre_peak_growth_bytes,smm_median_seconds,smm_min_seconds,smm_max_seconds,smm_median_allocated_bytes,smm_rss_before_bytes,smm_peak_rss_bytes,smm_peak_growth_bytes,speedup_smm_pre_over_smm,allocated_ratio_smm_pre_over_smm,peak_rss_ratio_smm_pre_over_smm,peak_growth_ratio_smm_pre_over_smm,ocaml_version,timestamp_utc
arithmetic_linear,_build/bench/generated/arithmetic_linear.s--,4096,20260710,4194307,7,1,0.000327826,0.000325918,0.000347853,3244192,8257536,8261632,4096,0.007460833,0.007448912,0.007467031,24571696,11464704,11759616,155648,0.043940,0.132030,0.702543,0.026316,5.4.1,2026-07-15T06:05:05Z
arithmetic_random,_build/bench/generated/arithmetic_random.s--,4096,20260710,4194307,7,1,0.000334978,0.000329971,0.000339031,3244192,8171520,8175616,4096,0.007491827,0.007432938,0.007545948,24512896,11423744,11784192,344064,0.044712,0.132346,0.693778,0.011905,5.4.1,2026-07-15T06:05:05Z
arithmetic_constant,_build/bench/generated/arithmetic_constant.s--,4096,20260710,212992,7,1,0.000374079,0.000373125,0.000375986,3244192,8249344,8253440,4096,0.005677223,0.005663872,0.005700111,16060640,11476992,11710464,233472,0.065891,0.201996,0.704792,0.017544,5.4.1,2026-07-15T06:05:05Z
arithmetic_repeated_eight,_build/bench/generated/arithmetic_repeated_eight.s--,4096,20260710,524312,7,1,0.000329018,0.000328064,0.000332832,3244192,8187904,8192000,4096,0.005952120,0.005930901,0.005980015,17266600,11509760,11841536,278528,0.055277,0.187888,0.691802,0.014706,5.4.1,2026-07-15T06:05:05Z
arithmetic_alternating_extremes,_build/bench/generated/arithmetic_alternating_extremes.s--,4096,20260710,4194307,7,1,0.000332832,0.000329971,0.000334978,3244192,8298496,8302592,4096,0.007458925,0.007431030,0.007473946,24512736,11509760,11870208,270336,0.044622,0.132347,0.699448,0.015152,5.4.1,2026-07-15T06:05:05Z
arithmetic_bucket_shuffle,_build/bench/generated/arithmetic_bucket_shuffle.s--,4096,20260710,4194307,7,1,0.000326872,0.000324011,0.000330925,3244192,8273920,8278016,4096,0.007540941,0.007506847,0.007606030,24571696,11390976,11685888,155648,0.043346,0.132030,0.708377,0.026316,5.4.1,2026-07-15T06:05:05Z
branch_linear,_build/bench/generated/branch_linear.s--,4096,20260710,837229,7,1,0.000399113,0.000396013,0.000402927,3670176,8286208,8290304,4096,0.009930134,0.009903908,0.010167837,31760696,11481088,11915264,397312,0.040192,0.115557,0.695772,0.010309,5.4.1,2026-07-15T06:05:05Z
branch_random,_build/bench/generated/branch_random.s--,4096,20260710,837229,7,1,0.000400066,0.000396013,0.000406027,3670176,8089600,8159232,69632,0.010107040,0.010087013,0.010179996,31920904,11464704,11931648,438272,0.039583,0.114977,0.683831,0.158879,5.4.1,2026-07-15T06:05:05Z
captured_linear,_build/bench/generated/captured_linear.s--,4096,20260710,4194307,7,1,0.028996944,0.028867006,0.029575109,3113664,8302592,8306688,4096,0.008238077,0.008224010,0.008312225,25098832,11374592,12365824,974848,3.519868,0.124056,0.671746,0.004202,5.4.1,2026-07-15T06:05:05Z
captured_random,_build/bench/generated/captured_random.s--,4096,20260710,4194307,7,1,0.029006004,0.028882027,0.029539824,3113664,8192000,8261632,69632,0.008198023,0.008181810,0.008212805,25040032,11468800,12525568,1056768,3.538171,0.124347,0.659581,0.065891,5.4.1,2026-07-15T06:05:05Z
multiarg_stable,_build/bench/generated/multiarg_stable.s--,4096,20260710,4194307,7,1,0.000630856,0.000628948,0.000638008,4849824,9142272,9146368,4096,0.010973930,0.010949135,0.011085987,32042880,12943360,14544896,1482752,0.057487,0.151354,0.628837,0.002762,5.4.1,2026-07-15T06:05:05Z
multiarg_alternating,_build/bench/generated/multiarg_alternating.s--,4096,20260710,5031939,7,1,0.000626802,0.000622988,0.000633001,4849824,9166848,9170944,4096,0.010890007,0.010879040,0.010907173,32344520,13017088,14585856,1433600,0.057558,0.149943,0.628756,0.002857,5.4.1,2026-07-15T06:05:05Z
nested_linear,_build/bench/generated/nested_linear.s--,4096,20260710,4194307,7,1,0.000439882,0.000436068,0.000447035,4129032,8265728,8269824,4096,0.009278059,0.009220123,0.009314060,32863400,11362304,12419072,892928,0.047411,0.125642,0.665897,0.004587,5.4.1,2026-07-15T06:05:05Z
nested_random,_build/bench/generated/nested_random.s--,4096,20260710,4194307,7,1,0.000439882,0.000437021,0.000441074,4129032,8269824,8273920,4096,0.009281874,0.009269953,0.009337902,32804600,11452416,12509184,937984,0.047392,0.125867,0.661428,0.004367,5.4.1,2026-07-15T06:05:05Z
heavy_linear,_build/bench/generated/heavy_linear.s--,4096,20260710,4206593,7,1,0.000714064,0.000706911,0.000716925,5931168,8318976,8421376,102400,0.010529041,0.010503054,0.010557890,37888808,11382784,12103680,684032,0.067818,0.156541,0.695770,0.149701,5.4.1,2026-07-15T06:05:05Z
heavy_random,_build/bench/generated/heavy_random.s--,4096,20260710,4206593,7,1,0.000709057,0.000678062,0.000925064,5931168,8265728,8368128,102400,0.011961222,0.011927128,0.011973858,43115928,11350016,12169216,790528,0.059280,0.137563,0.687647,0.129534,5.4.1,2026-07-15T06:05:05Z
complex_16_constant,_build/bench/generated/complex_16_constant.s--,4096,20260710,3505876992,7,1,0.004611015,0.004574060,0.004646063,35651848,8151040,11759616,3608576,0.006345987,0.006306887,0.006397009,16362544,11345920,12423168,921600,0.726603,2.178869,0.946588,3.915556,5.4.1,2026-07-15T06:05:05Z
complex_24_constant,_build/bench/generated/complex_24_constant.s--,4096,20260710,33345536,7,1,0.006328106,0.006285906,0.006341934,51904776,8175616,13488128,5312512,0.006316900,0.006304979,0.006334782,16447456,11448320,12492800,917504,1.001774,3.155794,1.079672,5.790179,5.4.1,2026-07-15T06:05:05Z
complex_32_constant,_build/bench/generated/complex_32_constant.s--,4096,20260710,3260588032,7,1,0.008448124,0.008420944,0.008507967,68157704,8278016,15327232,7049216,0.006371975,0.006350040,0.006392002,16557968,11476992,12554240,1077248,1.325825,4.116308,1.220881,6.543726,5.4.1,2026-07-15T06:05:05Z
complex_64_constant,_build/bench/generated/complex_64_constant.s--,4096,20260710,4087549952,7,1,0.016701937,0.016603947,0.016759872,133169416,8212480,22863872,14651392,0.006860018,0.006832838,0.006882906,17218928,11472896,12468224,995328,2.434678,7.733897,1.833771,14.720165,5.4.1,2026-07-15T06:05:05Z
complex_64_inline_constant,_build/bench/generated/complex_64_inline_constant.s--,4096,20260710,4087549952,7,1,0.016586065,0.016543150,0.016695023,132284576,8163328,22683648,14520320,0.162233114,0.161030769,0.164042950,184160752,11468800,22073344,10604544,0.102236,0.718310,1.027649,1.369255,5.4.1,2026-07-15T06:05:05Z
complex_32_linear_misses,_build/bench/generated/complex_32_linear_misses.s--,4096,20260710,2048321033,7,1,0.008496046,0.008473158,0.008510828,68157704,8310784,15360000,7049216,0.694056034,0.677294970,0.696255922,1236147248,11448320,29790208,18280448,0.012241,0.055137,0.515606,0.385615,5.4.1,2026-07-15T06:05:05Z
complex_64_bursty_eight_runs,_build/bench/generated/complex_64_bursty_eight_runs.s--,4096,20260710,2067910656,7,1,0.016482830,0.016402960,0.017263889,133169416,8249344,22900736,14651392,0.011488914,0.011469841,0.011571884,23901744,11456512,12808192,1228800,1.434673,5.571536,1.787976,11.923333,5.4.1,2026-07-15T06:05:05Z
