benchmark,source,calls,seed,expected,samples,warmups,smm_pre_median_seconds,smm_pre_min_seconds,smm_pre_max_seconds,smm_pre_median_allocated_bytes,smm_pre_rss_before_bytes,smm_pre_peak_rss_bytes,smm_pre_peak_growth_bytes,smm_median_seconds,smm_min_seconds,smm_max_seconds,smm_median_allocated_bytes,smm_rss_before_bytes,smm_peak_rss_bytes,smm_peak_growth_bytes,speedup_smm_pre_over_smm,allocated_ratio_smm_pre_over_smm,peak_rss_ratio_smm_pre_over_smm,peak_growth_ratio_smm_pre_over_smm,ocaml_version,timestamp_utc
arithmetic_linear,_build/bench/generated/arithmetic_linear.s--,4096,20260710,4194307,7,1,0.000373840,0.000367880,0.000380993,3211400,8261632,8318976,57344,0.007397175,0.007363081,0.007458925,24735512,11456512,11907072,352256,0.050538,0.129830,0.698658,0.162791,5.4.1,2026-07-15T11:02:22Z
arithmetic_random,_build/bench/generated/arithmetic_random.s--,4096,20260710,4194307,7,1,0.000364065,0.000361919,0.000366926,3211400,8208384,8265728,57344,0.007400990,0.007369041,0.007426977,24676712,11403264,11919360,516096,0.049191,0.130139,0.693471,0.111111,5.4.1,2026-07-15T11:02:22Z
arithmetic_constant,_build/bench/generated/arithmetic_constant.s--,4096,20260710,212992,7,1,0.000365019,0.000360966,0.000367880,3211400,8306688,8364032,57344,0.005603075,0.005573988,0.005647898,16126176,11481088,11771904,282624,0.065146,0.199142,0.710508,0.202899,5.4.1,2026-07-15T11:02:22Z
arithmetic_repeated_eight,_build/bench/generated/arithmetic_repeated_eight.s--,4096,20260710,524312,7,1,0.000366926,0.000365019,0.000374079,3211400,8175616,8232960,57344,0.005881071,0.005848169,0.005940914,17344400,11509760,11898880,389120,0.062391,0.185155,0.691910,0.147368,5.4.1,2026-07-15T11:02:22Z
arithmetic_alternating_extremes,_build/bench/generated/arithmetic_alternating_extremes.s--,4096,20260710,4194307,7,1,0.000365019,0.000361919,0.000378132,3211400,8232960,8290304,57344,0.007410049,0.007364988,0.007419109,24676552,11513856,12029952,397312,0.049260,0.130140,0.689139,0.144330,5.4.1,2026-07-15T11:02:22Z
arithmetic_bucket_shuffle,_build/bench/generated/arithmetic_bucket_shuffle.s--,4096,20260710,4194307,7,1,0.000365019,0.000363111,0.000368118,3211400,8306688,8364032,57344,0.007503033,0.007492065,0.007545948,24735512,11481088,11931648,331776,0.048650,0.129830,0.700996,0.172840,5.4.1,2026-07-15T11:02:22Z
branch_linear,_build/bench/generated/branch_linear.s--,4096,20260710,837229,7,1,0.000458002,0.000444174,0.000473022,3735688,8323072,8376320,53248,0.009883881,0.009811878,0.009998083,32022816,11407360,11825152,315392,0.046338,0.116657,0.708348,0.168831,5.4.1,2026-07-15T11:02:22Z
branch_random,_build/bench/generated/branch_random.s--,4096,20260710,837229,7,1,0.000452042,0.000447989,0.000452995,3735688,8290304,8343552,53248,0.010356903,0.010257006,0.010439873,32183024,11476992,11935744,319488,0.043646,0.116076,0.699039,0.166667,5.4.1,2026-07-15T11:02:22Z
captured_linear,_build/bench/generated/captured_linear.s--,4096,20260710,4194307,7,1,0.000538111,0.000535011,0.000543833,3342928,8216576,8339456,122880,0.008259058,0.008239985,0.008291960,25328144,11530240,12611584,1081344,0.065154,0.131985,0.661254,0.113636,5.4.1,2026-07-15T11:02:22Z
captured_random,_build/bench/generated/captured_random.s--,4096,20260710,4194307,7,1,0.000560045,0.000550032,0.000746012,3342928,8286208,8409088,122880,0.008188009,0.008170128,0.008226871,25269344,11489280,12636160,1146880,0.068398,0.132292,0.665478,0.107143,5.4.1,2026-07-15T11:02:22Z
