benchmark,source,calls,seed,expected,samples,warmups,smm_pre_median_seconds,smm_pre_min_seconds,smm_pre_max_seconds,smm_pre_median_allocated_bytes,smm_pre_rss_before_bytes,smm_pre_peak_rss_bytes,smm_pre_peak_growth_bytes,smm_median_seconds,smm_min_seconds,smm_max_seconds,smm_median_allocated_bytes,smm_rss_before_bytes,smm_peak_rss_bytes,smm_peak_growth_bytes,speedup_smm_pre_over_smm,allocated_ratio_smm_pre_over_smm,peak_rss_ratio_smm_pre_over_smm,peak_growth_ratio_smm_pre_over_smm,ocaml_version,timestamp_utc
multiarg_stable,_build/bench/generated/multiarg_stable.s--,4096,20260710,4194307,7,1,0.000691175,0.000658989,0.000692129,4784272,9179136,9310208,131072,0.010965109,0.010920048,0.011078835,32272264,13135872,14630912,1359872,0.063034,0.148247,0.636338,0.096386,5.4.1,2026-07-15T11:02:22Z
multiarg_alternating,_build/bench/generated/multiarg_alternating.s--,4096,20260710,5031939,7,1,0.000676870,0.000672102,0.000679970,4784272,9207808,9338880,131072,0.010930061,0.010920048,0.010984898,32672184,13094912,14589952,1400832,0.061927,0.146433,0.640090,0.093567,5.4.1,2026-07-15T11:02:22Z
nested_linear,_build/bench/generated/nested_linear.s--,4096,20260710,4194307,7,1,0.000488043,0.000483990,0.000494957,4096240,8310784,8364032,53248,0.009281158,0.009240866,0.009305954,33223824,11513856,12595200,1081344,0.052584,0.123292,0.664065,0.049242,5.4.1,2026-07-15T11:02:22Z
nested_random,_build/bench/generated/nested_random.s--,4096,20260710,4194307,7,1,0.000498056,0.000494957,0.000513077,4096240,8290304,8343552,53248,0.009292126,0.009275198,0.009331942,33165024,11472896,12619776,1032192,0.053600,0.123511,0.661149,0.051587,5.4.1,2026-07-15T11:02:22Z
heavy_linear,_build/bench/generated/heavy_linear.s--,4096,20260710,4206593,7,1,0.000851154,0.000836134,0.000868797,5996696,8314880,8716288,401408,0.010807991,0.010720015,0.010841131,37974016,11505664,12414976,897024,0.078752,0.157916,0.702079,0.447489,5.4.1,2026-07-15T11:02:22Z
heavy_random,_build/bench/generated/heavy_random.s--,4096,20260710,4206593,7,1,0.000865221,0.000859976,0.000879049,5996696,8220672,8622080,401408,0.011992931,0.011884928,0.012671947,43377536,11399168,12341248,806912,0.072144,0.138244,0.698639,0.497462,5.4.1,2026-07-15T11:02:22Z
complex_16_constant,_build/bench/generated/complex_16_constant.s--,4096,20260710,3505876992,7,1,0.005115986,0.005074024,0.005133152,36077848,8122368,12066816,3944448,0.006303072,0.006232977,0.006323099,16493288,11431936,12599296,1118208,0.811665,2.187426,0.957737,3.527473,5.4.1,2026-07-15T11:02:22Z
complex_24_constant,_build/bench/generated/complex_24_constant.s--,4096,20260710,33345536,7,1,0.006811857,0.006794930,0.006842852,51544344,8318976,13377536,5058560,0.006230831,0.006186008,0.006289005,16578008,11460608,12627968,1081344,1.093250,3.109200,1.059358,4.678030,5.4.1,2026-07-15T11:02:22Z
complex_32_constant,_build/bench/generated/complex_32_constant.s--,4096,20260710,3260588032,7,1,0.009763002,0.009716034,0.009791851,69108000,8245248,16388096,8142848,0.006289005,0.006263971,0.006309986,16688328,11419648,12587008,1015808,1.552392,4.141098,1.301985,8.016129,5.4.1,2026-07-15T11:02:22Z
complex_64_constant,_build/bench/generated/complex_64_constant.s--,4096,20260710,4087549952,7,1,0.019596100,0.019479036,0.019659996,135168296,8208384,24170496,15962112,0.006731033,0.006704092,0.006757021,17348520,11522048,12615680,946176,2.911306,7.791345,1.915909,16.870130,5.4.1,2026-07-15T11:02:22Z
complex_64_inline_constant,_build/bench/generated/complex_64_inline_constant.s--,4096,20260710,4087549952,7,1,0.019292831,0.019243956,0.019353151,134283456,8306688,24612864,16306176,0.156244993,0.155938148,0.156987190,184290296,11513856,22589440,11051008,0.123478,0.728652,1.089574,1.475537,5.4.1,2026-07-15T11:02:22Z
complex_32_linear_misses,_build/bench/generated/complex_32_linear_misses.s--,4096,20260710,2048321033,7,1,0.009601116,0.009490967,0.009624958,69108000,8171520,16379904,8208384,0.669776917,0.665583134,0.679875851,1237490760,11481088,30052352,18395136,0.014335,0.055845,0.545046,0.446226,5.4.1,2026-07-15T11:02:22Z
complex_64_bursty_eight_runs,_build/bench/generated/complex_64_bursty_eight_runs.s--,4096,20260710,2067910656,7,1,0.019162893,0.019083977,0.020215034,135168296,8175616,24473600,16297984,0.011318922,0.011288881,0.011404991,24021088,11530240,12976128,1294336,1.692996,5.627068,1.886048,12.591772,5.4.1,2026-07-15T11:02:22Z
