benchmark,source,calls,seed,expected,samples,warmups,smm_pre_median_seconds,smm_pre_min_seconds,smm_pre_max_seconds,smm_pre_median_allocated_bytes,smm_pre_rss_before_bytes,smm_pre_peak_rss_bytes,smm_pre_peak_growth_bytes,smm_median_seconds,smm_min_seconds,smm_max_seconds,smm_median_allocated_bytes,smm_rss_before_bytes,smm_peak_rss_bytes,smm_peak_growth_bytes,speedup_smm_pre_over_smm,allocated_ratio_smm_pre_over_smm,peak_rss_ratio_smm_pre_over_smm,peak_growth_ratio_smm_pre_over_smm,ocaml_version,timestamp_utc
arithmetic_linear,_build/bench/generated/arithmetic_linear.s--,4096,20260710,4194307,7,1,0.000333071,0.000329018,0.000359058,3244192,8232960,8237056,4096,1.058763981,1.054059029,1.133532047,68420544,9859072,11046912,1187840,0.000315,0.047415,0.745643,0.003448,5.4.1,2026-07-14T03:53:04Z
arithmetic_random,_build/bench/generated/arithmetic_random.s--,4096,20260710,4194307,7,1,0.000328064,0.000326872,0.000331163,3244192,8282112,8286208,4096,1.054041147,1.046416044,1.149587870,68420544,9895936,11083776,1187840,0.000311,0.047415,0.747598,0.003448,5.4.1,2026-07-14T03:53:04Z
arithmetic_constant,_build/bench/generated/arithmetic_constant.s--,4096,20260710,212992,7,1,0.000327110,0.000325918,0.000329971,3244192,8286208,8290304,4096,1.066260099,1.052304983,1.081904888,53547504,9977856,11100160,1122304,0.000307,0.060585,0.746863,0.003650,5.4.1,2026-07-14T03:53:04Z
arithmetic_repeated_eight,_build/bench/generated/arithmetic_repeated_eight.s--,4096,20260710,524312,7,1,0.000330925,0.000329018,0.000334024,3244192,8232960,8237056,4096,1.104270935,1.064553022,1.131209135,55440248,9936896,11059200,1122304,0.000300,0.058517,0.744815,0.003650,5.4.1,2026-07-14T03:53:04Z
arithmetic_alternating_extremes,_build/bench/generated/arithmetic_alternating_extremes.s--,4096,20260710,4194307,7,1,0.000329018,0.000327110,0.000329971,3244192,8253440,8257536,4096,1.046327114,1.045097828,1.051101923,68420544,9961472,11149312,1187840,0.000314,0.047415,0.740632,0.003448,5.4.1,2026-07-14T03:53:04Z
arithmetic_bucket_shuffle,_build/bench/generated/arithmetic_bucket_shuffle.s--,4096,20260710,4194307,7,1,0.000332117,0.000328064,0.000340939,3244192,8298496,8302592,4096,1.048693895,1.048270941,1.051844835,68420544,9973760,11161600,1187840,0.000317,0.047415,0.743853,0.003448,5.4.1,2026-07-14T03:53:04Z
branch_linear,_build/bench/generated/branch_linear.s--,4096,20260710,837229,7,1,0.000401020,0.000400782,0.000412941,3670176,8196096,8200192,4096,1.052704096,1.048984051,1.055433035,81114856,10002432,11223040,1220608,0.000381,0.045247,0.730657,0.003356,5.4.1,2026-07-14T03:53:04Z
branch_random,_build/bench/generated/branch_random.s--,4096,20260710,837229,7,1,0.000411034,0.000406981,0.000417948,3670176,8302592,8306688,4096,1.053257942,1.019835949,1.154948950,81433960,10022912,11243520,1220608,0.000390,0.045069,0.738798,0.003356,5.4.1,2026-07-14T03:53:04Z
captured_linear,_build/bench/generated/captured_linear.s--,4096,20260710,4194307,7,1,0.028954983,0.028847933,0.029554844,3113664,8273920,8278016,4096,1.045383930,1.043969154,1.051728964,74455392,9891840,11079680,1187840,0.027698,0.041819,0.747135,0.003448,5.4.1,2026-07-14T03:53:04Z
captured_random,_build/bench/generated/captured_random.s--,4096,20260710,4194307,7,1,0.029052019,0.028969049,0.029964924,3113664,8220672,8224768,4096,1.012034178,1.008820057,1.014406919,74455392,9977856,11165696,1187840,0.028707,0.041819,0.736610,0.003448,5.4.1,2026-07-14T03:53:04Z
multiarg_stable,_build/bench/generated/multiarg_stable.s--,4096,20260710,4194307,7,1,0.000638962,0.000627041,0.000648022,4849824,9093120,9097216,4096,2.363928080,2.359369040,2.403842926,98501600,11313152,13385728,2072576,0.000270,0.049236,0.679621,0.001976,5.4.1,2026-07-14T03:53:04Z
multiarg_alternating,_build/bench/generated/multiarg_alternating.s--,4096,20260710,5031939,7,1,0.000646114,0.000636101,0.000652075,4849824,9166848,9170944,4096,2.319509983,2.274109125,2.500603914,99189560,11284480,13357056,2072576,0.000279,0.048895,0.686599,0.001976,5.4.1,2026-07-14T03:53:04Z
nested_linear,_build/bench/generated/nested_linear.s--,4096,20260710,4194307,7,1,0.000454903,0.000452995,0.000458002,4129032,8175616,8179712,4096,1.052661180,1.052043915,1.058909893,75860640,9891840,11112448,1220608,0.000432,0.054429,0.736086,0.003356,5.4.1,2026-07-14T03:53:04Z
nested_random,_build/bench/generated/nested_random.s--,4096,20260710,4194307,7,1,0.000447035,0.000444889,0.000453949,4129032,8286208,8290304,4096,1.054691076,1.048050880,1.131097078,75860640,9891840,11112448,1220608,0.000424,0.054429,0.746038,0.003356,5.4.1,2026-07-14T03:53:04Z
heavy_linear,_build/bench/generated/heavy_linear.s--,4096,20260710,4206593,7,1,0.000679970,0.000678062,0.000687122,5931168,8257536,8359936,102400,1.059200048,1.053313017,1.084786177,89026440,9953280,11501568,1548288,0.000642,0.066623,0.726852,0.066138,5.4.1,2026-07-14T03:53:04Z
heavy_random,_build/bench/generated/heavy_random.s--,4096,20260710,4206593,7,1,0.000684023,0.000679970,0.000686169,5931168,8273920,8376320,102400,1.057432890,1.054064989,1.069797039,97135336,9986048,11632640,1646592,0.000647,0.061061,0.720070,0.062189,5.4.1,2026-07-14T03:53:04Z
