benchmark,source,calls,seed,expected,samples,warmups,smm_pre_median_seconds,smm_pre_min_seconds,smm_pre_max_seconds,smm_pre_median_allocated_bytes,smm_pre_rss_before_bytes,smm_pre_peak_rss_bytes,smm_pre_peak_growth_bytes,smm_median_seconds,smm_min_seconds,smm_max_seconds,smm_median_allocated_bytes,smm_rss_before_bytes,smm_peak_rss_bytes,smm_peak_growth_bytes,speedup_smm_pre_over_smm,allocated_ratio_smm_pre_over_smm,peak_rss_ratio_smm_pre_over_smm,peak_growth_ratio_smm_pre_over_smm,ocaml_version,timestamp_utc
arithmetic_linear,_build/bench/generated/arithmetic_linear.s--,4096,20260710,4194307,7,1,0.000339031,0.000332117,0.000342131,3244192,8269824,8273920,4096,0.010276079,0.010241985,0.010354996,49284240,11370496,11411456,0,0.032992,0.065826,0.725054,NA,5.4.1,2026-07-14T07:22:27Z
arithmetic_random,_build/bench/generated/arithmetic_random.s--,4096,20260710,4194307,7,1,0.000331879,0.000329018,0.000332117,3244192,8142848,8146944,4096,0.010310888,0.010236025,0.010375977,49284240,11464704,11522048,0,0.032187,0.065826,0.707074,NA,5.4.1,2026-07-14T07:22:27Z
arithmetic_constant,_build/bench/generated/arithmetic_constant.s--,4096,20260710,212992,7,1,0.000330925,0.000329018,0.000334024,3244192,8265728,8269824,4096,0.008188963,0.008126974,0.008230925,37687200,11390976,11399168,8192,0.040411,0.086082,0.725476,0.500000,5.4.1,2026-07-14T07:22:27Z
arithmetic_repeated_eight,_build/bench/generated/arithmetic_repeated_eight.s--,4096,20260710,524312,7,1,0.000331163,0.000323057,0.000404119,3244192,8261632,8265728,4096,0.008523941,0.008494139,0.008534193,39007624,11505664,11513856,8192,0.038851,0.083168,0.717894,0.500000,5.4.1,2026-07-14T07:22:27Z
arithmetic_alternating_extremes,_build/bench/generated/arithmetic_alternating_extremes.s--,4096,20260710,4194307,7,1,0.000345945,0.000339031,0.000365973,3244192,8171520,8175616,4096,0.010475159,0.010384083,0.010889053,49284240,11505664,11669504,0,0.033025,0.065826,0.700597,NA,5.4.1,2026-07-14T07:22:27Z
arithmetic_bucket_shuffle,_build/bench/generated/arithmetic_bucket_shuffle.s--,4096,20260710,4194307,7,1,0.000322104,0.000319958,0.000331163,3244192,8249344,8253440,4096,0.010269880,0.010032177,0.010301113,49284240,11436032,11444224,8192,0.031364,0.065826,0.721188,0.500000,5.4.1,2026-07-14T07:22:27Z
branch_linear,_build/bench/generated/branch_linear.s--,4096,20260710,837229,7,1,0.000410080,0.000406981,0.000412941,3670176,8126464,8130560,4096,0.012249947,0.012149096,0.013202906,56342328,11431936,11481088,0,0.033476,0.065141,0.708170,NA,5.4.1,2026-07-14T07:22:27Z
branch_random,_build/bench/generated/branch_random.s--,4096,20260710,837229,7,1,0.000413179,0.000408173,0.000416040,3670176,8290304,8294400,4096,0.012362957,0.012331963,0.012500048,56129592,11431936,11440128,8192,0.033421,0.065388,0.725027,0.500000,5.4.1,2026-07-14T07:22:27Z
captured_linear,_build/bench/generated/captured_linear.s--,4096,20260710,4194307,7,1,0.028903961,0.028810024,0.029455900,3113664,8286208,8290304,4096,0.012250900,0.012145042,0.012333155,52959072,11415552,11653120,98304,2.359334,0.058794,0.711424,0.041667,5.4.1,2026-07-14T07:22:27Z
captured_random,_build/bench/generated/captured_random.s--,4096,20260710,4194307,7,1,0.028954029,0.028837919,0.030515194,3113664,8208384,8212480,4096,0.012133837,0.012104988,0.012166023,52959072,11497472,11735040,237568,2.386222,0.058794,0.699825,0.017241,5.4.1,2026-07-14T07:22:27Z
multiarg_stable,_build/bench/generated/multiarg_stable.s--,4096,20260710,4194307,7,1,0.000633955,0.000631809,0.000643969,4849824,9170944,9175040,4096,0.017867088,0.017663002,0.017883778,72287680,12951552,13189120,81920,0.035482,0.067091,0.695652,0.050000,5.4.1,2026-07-14T07:22:27Z
multiarg_alternating,_build/bench/generated/multiarg_alternating.s--,4096,20260710,5031939,7,1,0.000629902,0.000627995,0.000631809,4849824,9166848,9170944,4096,0.017148972,0.017066956,0.017203808,72844600,13025280,13262848,122880,0.036731,0.066578,0.691476,0.033333,5.4.1,2026-07-14T07:22:27Z
nested_linear,_build/bench/generated/nested_linear.s--,4096,20260710,4194307,7,1,0.000437021,0.000434875,0.000448942,4129032,8257536,8261632,4096,0.012255907,0.012212992,0.012387991,58821088,11411456,11743232,319488,0.035658,0.070196,0.703523,0.012821,5.4.1,2026-07-14T07:22:27Z
nested_random,_build/bench/generated/nested_random.s--,4096,20260710,4194307,7,1,0.000441074,0.000437975,0.000444889,4129032,8286208,8290304,4096,0.012151957,0.012131214,0.012202978,58821088,11464704,11796480,286720,0.036297,0.070196,0.702778,0.014286,5.4.1,2026-07-14T07:22:27Z
heavy_linear,_build/bench/generated/heavy_linear.s--,4096,20260710,4206593,7,1,0.000697851,0.000694036,0.000714064,5931168,8175616,8278016,102400,0.013756990,0.013712168,0.013880968,61487720,11431936,11448320,0,0.050727,0.096461,0.723077,NA,5.4.1,2026-07-14T07:22:27Z
heavy_random,_build/bench/generated/heavy_random.s--,4096,20260710,4206593,7,1,0.000691891,0.000689030,0.000694036,5931168,8187904,8290304,102400,0.015172958,0.015128851,0.015269041,68973512,11382784,11390976,8192,0.045600,0.085992,0.727796,12.500000,5.4.1,2026-07-14T07:22:27Z
