benchmark,source,calls,seed,expected,samples,warmups,smm_pre_median_seconds,smm_pre_min_seconds,smm_pre_max_seconds,smm_pre_median_allocated_bytes,smm_pre_rss_before_bytes,smm_pre_peak_rss_bytes,smm_pre_peak_growth_bytes,smm_median_seconds,smm_min_seconds,smm_max_seconds,smm_median_allocated_bytes,smm_rss_before_bytes,smm_peak_rss_bytes,smm_peak_growth_bytes,speedup_smm_pre_over_smm,allocated_ratio_smm_pre_over_smm,peak_rss_ratio_smm_pre_over_smm,peak_growth_ratio_smm_pre_over_smm,ocaml_version,timestamp_utc
arithmetic_linear,_build/bench/generated/arithmetic_linear.s--,4096,20260710,4194307,7,1,0.000471830,0.000466108,0.000478029,3211400,8294400,8351744,57344,0.003009081,0.002600908,0.003429890,18391040,11415552,11554816,0,0.156802,0.174618,0.722793,NA,5.4.1,2026-07-15T11:33:21Z
arithmetic_random,_build/bench/generated/arithmetic_random.s--,4096,20260710,4194307,7,1,0.000360966,0.000359058,0.000363111,3211400,8216576,8273920,57344,0.002605915,0.002576113,0.003205061,18449840,11509760,11661312,0,0.138518,0.174061,0.709519,NA,5.4.1,2026-07-15T11:33:21Z
arithmetic_constant,_build/bench/generated/arithmetic_constant.s--,4096,20260710,212992,7,1,0.000359058,0.000355005,0.000360012,3211400,8298496,8355840,57344,0.001915932,0.001880884,0.001927137,12717016,11407360,11481088,73728,0.187407,0.252528,0.727792,0.777778,5.4.1,2026-07-15T11:33:21Z
arithmetic_repeated_eight,_build/bench/generated/arithmetic_repeated_eight.s--,4096,20260710,524312,7,1,0.000362158,0.000349998,0.000381947,3211400,8179712,8302592,122880,0.002026081,0.002021074,0.002048016,13616376,11468800,11587584,0,0.178748,0.235848,0.716508,NA,5.4.1,2026-07-15T11:33:21Z
arithmetic_alternating_extremes,_build/bench/generated/arithmetic_alternating_extremes.s--,4096,20260710,4194307,7,1,0.000368118,0.000355959,0.000720024,3211400,8314880,8372224,57344,0.002673864,0.002645969,0.002716064,18450000,11513856,11620352,0,0.137673,0.174060,0.720479,NA,5.4.1,2026-07-15T11:33:21Z
arithmetic_bucket_shuffle,_build/bench/generated/arithmetic_bucket_shuffle.s--,4096,20260710,4194307,7,1,0.000360966,0.000355959,0.000373125,3211400,8171520,8228864,57344,0.002613068,0.002608776,0.002623081,18391040,11444224,11517952,28672,0.138139,0.174618,0.714438,2.000000,5.4.1,2026-07-15T11:33:21Z
branch_linear,_build/bench/generated/branch_linear.s--,4096,20260710,837229,7,1,0.000436068,0.000431061,0.000440836,3735688,8196096,8314880,118784,0.003603935,0.003583908,0.003672838,25160952,11386880,11526144,122880,0.120998,0.148472,0.721393,0.966667,5.4.1,2026-07-15T11:33:21Z
branch_random,_build/bench/generated/branch_random.s--,4096,20260710,837229,7,1,0.000448942,0.000442982,0.000472069,3735688,8269824,8323072,53248,0.003851891,0.003791094,0.003870964,25529768,11464704,11595776,0,0.116551,0.146327,0.717768,NA,5.4.1,2026-07-15T11:33:21Z
captured_linear,_build/bench/generated/captured_linear.s--,4096,20260710,4194307,7,1,0.000551224,0.000549078,0.000555038,3342928,8327168,8450048,122880,0.002812147,0.002777100,0.002824068,18458840,11517952,11657216,139264,0.196015,0.181102,0.724877,0.882353,5.4.1,2026-07-15T11:33:21Z
captured_random,_build/bench/generated/captured_random.s--,4096,20260710,4194307,7,1,0.000529051,0.000523806,0.000583887,3342928,8302592,8425472,122880,0.002818108,0.002808094,0.002841949,18517640,11399168,11538432,4096,0.187733,0.180527,0.730209,30.000000,5.4.1,2026-07-15T11:33:21Z
multiarg_stable,_build/bench/generated/multiarg_stable.s--,4096,20260710,4194307,7,1,0.000674009,0.000666857,0.000700951,4784272,9093120,9224192,131072,0.003902912,0.003870010,0.003950119,24289320,13115392,13467648,225280,0.172694,0.196970,0.684915,0.581818,5.4.1,2026-07-15T11:33:21Z
multiarg_alternating,_build/bench/generated/multiarg_alternating.s--,4096,20260710,5031939,7,1,0.000679970,0.000676870,0.000682116,4784272,9150464,9281536,131072,0.004103184,0.004068136,0.004123926,24937976,13012992,13365248,290816,0.165718,0.191847,0.694453,0.450704,5.4.1,2026-07-15T11:33:21Z
nested_linear,_build/bench/generated/nested_linear.s--,4096,20260710,4194307,7,1,0.000485897,0.000483990,0.000493050,4096240,8314880,8368128,53248,0.003666878,0.003640890,0.004273891,25830592,11505664,11579392,0,0.132510,0.158581,0.722674,NA,5.4.1,2026-07-15T11:33:21Z
nested_random,_build/bench/generated/nested_random.s--,4096,20260710,4194307,7,1,0.000487089,0.000478029,0.000490189,4096240,8257536,8310784,53248,0.003706932,0.003651857,0.003760099,25889392,11513856,11587584,73728,0.131400,0.158221,0.717215,0.722222,5.4.1,2026-07-15T11:33:21Z
heavy_linear,_build/bench/generated/heavy_linear.s--,4096,20260710,4206593,7,1,0.000821114,0.000804901,0.000833035,5996696,8290304,8691712,401408,0.004509926,0.004504919,0.004556894,31734352,11403264,11739136,237568,0.182068,0.188965,0.740405,1.689655,5.4.1,2026-07-15T11:33:21Z
heavy_random,_build/bench/generated/heavy_random.s--,4096,20260710,4206593,7,1,0.000826836,0.000818968,0.000827074,5996696,8302592,8704000,401408,0.005011082,0.004961967,0.005074024,35797856,11526144,11796480,270336,0.165001,0.167516,0.737847,1.484848,5.4.1,2026-07-15T11:33:21Z
complex_16_constant,_build/bench/generated/complex_16_constant.s--,4096,20260710,3505876992,7,1,0.004997015,0.004987001,0.005050898,36077848,8335360,12312576,3977216,0.005871058,0.005838871,0.006017208,30491672,11386880,17276928,5890048,0.851127,1.183203,0.712660,0.675243,5.4.1,2026-07-15T11:33:21Z
complex_24_constant,_build/bench/generated/complex_24_constant.s--,4096,20260710,33345536,7,1,0.006638050,0.006631136,0.006690025,51544344,8290304,13381632,5091328,0.006975174,0.006931067,0.007090092,38944408,11362304,18866176,7327744,0.951668,1.323536,0.709292,0.694802,5.4.1,2026-07-15T11:33:21Z
complex_32_constant,_build/bench/generated/complex_32_constant.s--,4096,20260710,3260588032,7,1,0.009521008,0.009462118,0.009535074,69108000,8208384,16384000,8175616,0.011255026,0.011171103,0.011489868,47413528,11444224,20353024,8863744,0.845934,1.457559,0.804991,0.922366,5.4.1,2026-07-15T11:33:21Z
complex_64_constant,_build/bench/generated/complex_64_constant.s--,4096,20260710,4087549952,7,1,0.018944979,0.018908024,0.018994093,135168296,8302592,24412160,16109568,0.017946005,0.017843008,0.018033028,81453848,11526144,20832256,9027584,1.055666,1.659446,1.171844,1.784483,5.4.1,2026-07-15T11:33:21Z
complex_64_inline_constant,_build/bench/generated/complex_64_inline_constant.s--,4096,20260710,4087549952,7,1,0.018857002,0.018810987,0.018992901,134283456,8220672,24399872,16179200,0.042335987,0.042227983,0.042526007,97098088,11395072,19234816,7585792,0.445413,1.382967,1.268526,2.132829,5.4.1,2026-07-15T11:33:21Z
complex_32_linear_misses,_build/bench/generated/complex_32_linear_misses.s--,4096,20260710,2048321033,7,1,0.009332895,0.009291887,0.009351015,69108000,8306688,16482304,8175616,0.234909058,0.232395887,0.237210035,926725720,11419648,34553856,22982656,0.039730,0.074572,0.477003,0.355730,5.4.1,2026-07-15T11:33:21Z
complex_64_bursty_eight_runs,_build/bench/generated/complex_64_bursty_eight_runs.s--,4096,20260710,2067910656,7,1,0.018818140,0.018739939,0.018831015,135168296,8208384,24342528,16134144,0.019567013,0.019499063,0.019659042,86268784,11472896,21008384,9420800,0.961728,1.566827,1.158705,1.712609,5.4.1,2026-07-15T11:33:21Z
