benchmark,source,calls,seed,expected,samples,warmups,smm_pre_median_seconds,smm_pre_min_seconds,smm_pre_max_seconds,smm_pre_median_allocated_bytes,smm_pre_rss_before_bytes,smm_pre_peak_rss_bytes,smm_pre_peak_growth_bytes,smm_median_seconds,smm_min_seconds,smm_max_seconds,smm_median_allocated_bytes,smm_rss_before_bytes,smm_peak_rss_bytes,smm_peak_growth_bytes,speedup_smm_pre_over_smm,allocated_ratio_smm_pre_over_smm,peak_rss_ratio_smm_pre_over_smm,peak_growth_ratio_smm_pre_over_smm,ocaml_version,timestamp_utc
arithmetic_linear,_build/bench/generated/arithmetic_linear.s--,4096,20260710,4194307,7,1,0.000336170,0.000328064,0.000342846,3244192,8237056,8241152,4096,0.007390022,0.007378101,0.007428885,24571696,11345920,11640832,163840,0.045490,0.132030,0.707952,0.025000,5.4.1,2026-07-14T07:26:02Z
arithmetic_random,_build/bench/generated/arithmetic_random.s--,4096,20260710,4194307,7,1,0.000325918,0.000324965,0.000332117,3244192,8134656,8138752,4096,0.007462025,0.007455826,0.007495165,24512896,11472896,11833344,360448,0.043677,0.132346,0.687781,0.011364,5.4.1,2026-07-14T07:26:02Z
arithmetic_constant,_build/bench/generated/arithmetic_constant.s--,4096,20260710,212992,7,1,0.000329971,0.000326872,0.000336170,3244192,8171520,8175616,4096,0.005625010,0.005610943,0.005667925,16060640,11444224,11677696,233472,0.058661,0.201996,0.700105,0.017544,5.4.1,2026-07-14T07:26:02Z
arithmetic_repeated_eight,_build/bench/generated/arithmetic_repeated_eight.s--,4096,20260710,524312,7,1,0.000333071,0.000327110,0.000344992,3244192,8269824,8273920,4096,0.005929947,0.005912066,0.005955935,17266600,11497472,11829248,327680,0.056168,0.187888,0.699446,0.012500,5.4.1,2026-07-14T07:26:02Z
arithmetic_alternating_extremes,_build/bench/generated/arithmetic_alternating_extremes.s--,4096,20260710,4194307,7,1,0.000331163,0.000329971,0.000336885,3244192,8212480,8216576,4096,0.007375956,0.007335901,0.007417917,24512736,11448320,11808768,319488,0.044898,0.132347,0.695803,0.012821,5.4.1,2026-07-14T07:26:02Z
arithmetic_bucket_shuffle,_build/bench/generated/arithmetic_bucket_shuffle.s--,4096,20260710,4194307,7,1,0.000341177,0.000338078,0.000342846,3244192,8151040,8155136,4096,0.007400036,0.007384062,0.007544041,24571696,11395072,11689984,167936,0.046105,0.132030,0.697617,0.024390,5.4.1,2026-07-14T07:26:02Z
branch_linear,_build/bench/generated/branch_linear.s--,4096,20260710,837229,7,1,0.000399828,0.000393152,0.000401974,3670176,8269824,8273920,4096,0.009988070,0.009957075,0.010015965,31760696,11415552,11849728,417792,0.040031,0.115557,0.698237,0.009804,5.4.1,2026-07-14T07:26:02Z
branch_random,_build/bench/generated/branch_random.s--,4096,20260710,837229,7,1,0.000409126,0.000402927,0.000411987,3670176,8257536,8261632,4096,0.010042906,0.010001183,0.010048151,31920904,11493376,11960320,466944,0.040738,0.114977,0.690753,0.008772,5.4.1,2026-07-14T07:26:02Z
captured_linear,_build/bench/generated/captured_linear.s--,4096,20260710,4194307,7,1,0.028951883,0.028821230,0.030438185,3113664,8237056,8241152,4096,0.008353949,0.008214951,0.008659124,25098832,11423744,12414976,827392,3.465653,0.124056,0.663807,0.004950,5.4.1,2026-07-14T07:26:02Z
captured_random,_build/bench/generated/captured_random.s--,4096,20260710,4194307,7,1,0.029025078,0.028901100,0.029700994,3113664,8286208,8290304,4096,0.008299828,0.008239031,0.008322954,25040032,11460608,12517376,1052672,3.497070,0.124347,0.662304,0.003891,5.4.1,2026-07-14T07:26:02Z
multiarg_stable,_build/bench/generated/multiarg_stable.s--,4096,20260710,4194307,7,1,0.000638008,0.000627041,0.000649929,4849824,9150464,9154560,4096,0.011121988,0.011053085,0.011183023,32042880,12951552,14487552,1425408,0.057365,0.151354,0.631891,0.002874,5.4.1,2026-07-14T07:26:02Z
multiarg_alternating,_build/bench/generated/multiarg_alternating.s--,4096,20260710,5031939,7,1,0.000639915,0.000628948,0.000643969,4849824,9158656,9162752,4096,0.010998964,0.010966063,0.011015892,32344520,12963840,14532608,1413120,0.058180,0.149943,0.630496,0.002899,5.4.1,2026-07-14T07:26:02Z
nested_linear,_build/bench/generated/nested_linear.s--,4096,20260710,4194307,7,1,0.000457048,0.000445843,0.000474930,4129032,8249344,8253440,4096,0.009364128,0.009338856,0.009470940,32863400,11358208,12414976,946176,0.048808,0.125642,0.664797,0.004329,5.4.1,2026-07-14T07:26:02Z
nested_random,_build/bench/generated/nested_random.s--,4096,20260710,4194307,7,1,0.000458956,0.000450134,0.000459909,4129032,8187904,8192000,4096,0.009207964,0.009166002,0.009241104,32804600,11403264,12460032,1056768,0.049843,0.125867,0.657462,0.003876,5.4.1,2026-07-14T07:26:02Z
heavy_linear,_build/bench/generated/heavy_linear.s--,4096,20260710,4206593,7,1,0.000691891,0.000689983,0.000702858,5931168,8179712,8282112,102400,0.010527134,0.010464907,0.011912107,37888808,11427840,12148736,720896,0.065725,0.156541,0.681726,0.142045,5.4.1,2026-07-14T07:26:02Z
heavy_random,_build/bench/generated/heavy_random.s--,4096,20260710,4206593,7,1,0.000686884,0.000681162,0.000691891,5931168,8261632,8364032,102400,0.011660814,0.011637926,0.011681080,43115928,11382784,12136448,655360,0.058905,0.137563,0.689166,0.156250,5.4.1,2026-07-14T07:26:02Z
